City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Norman Wells,65.28,-126.83,19.4,79,75,12.75,CA,1602865653
Pisco,-13.7,-76.22,68.0,72,20,9.17,PE,1602865653
Kenai,60.55,-151.26,32.0,86,90,8.05,US,1602865653
Kapaa,22.08,-159.32,75.2,100,75,6.93,US,1602865653
São Filipe,14.9,-24.5,82.27,73,99,7.18,CV,1602865654
New Norfolk,-42.78,147.06,43.0,69,100,1.88,AU,1602865654
Atuona,-9.8,-139.03,78.1,79,3,21.14,PF,1602865654
Lagoa,39.05,-27.98,65.08,77,92,11.61,PT,1602865654
Tafresh,34.69,50.01,52.09,35,0,4.76,IR,1602865654
Beloha,-25.17,45.05,69.64,77,31,16.78,MG,1602865654
Port-Gentil,-0.72,8.78,82.4,69,75,11.41,GA,1602865654
Jaguaquara,-13.53,-39.97,88.12,33,0,6.82,BR,1602865626
Emerald,-23.53,148.17,64.4,68,0,5.82,AU,1602865655
Yulara,-25.24,130.99,80.6,26,0,8.05,AU,1602865655
Albany,42.6,-73.97,51.01,85,100,6.53,US,1602865655
Torbay,47.67,-52.73,59.0,93,90,3.36,CA,1602865655
Magadan,59.57,150.8,30.63,87,0,2.66,RU,1602865655
Tasiilaq,65.61,-37.64,41.0,100,90,3.36,GL,1602865396
Vaini,-21.2,-175.2,73.4,100,90,5.82,TO,1602865655
Atar,20.52,-13.05,99.66,15,0,13.58,MR,1602865655
East London,-33.02,27.91,64.4,88,75,14.99,ZA,1602865656
Vågåmo,61.88,9.1,38.93,75,0,2.71,NO,1602865656
Carnarvon,-24.87,113.63,68.0,88,75,23.04,AU,1602865656
Bilma,18.69,12.92,99.14,10,0,5.19,NE,1602865656
Oussouye,12.48,-16.55,89.6,79,20,4.7,SN,1602865656
Castro,-24.79,-50.01,72.28,52,1,8.01,BR,1602865656
Clyde River,70.47,-68.59,33.8,100,90,4.7,CA,1602865656
Hegang,47.4,130.37,31.68,91,0,5.79,CN,1602865657
Mar del Plata,-38.0,-57.56,73.4,60,40,12.75,AR,1602865657
Constitución,-35.33,-72.42,59.99,72,2,10.49,CL,1602865657
Prince Rupert,54.32,-130.32,42.8,93,20,6.93,CA,1602865430
Portland,45.52,-122.68,53.01,81,90,0.74,US,1602865160
San Quintín,30.48,-115.95,77.67,46,7,6.78,MX,1602865657
Coos Bay,43.37,-124.22,55.0,81,1,3.36,US,1602865475
Avarua,-21.21,-159.78,69.8,83,100,4.7,CK,1602865427
Agüimes,27.91,-15.45,75.99,64,40,16.11,ES,1602865657
Quatre Cocos,-20.21,57.76,75.0,78,40,4.7,MU,1602865657
Pevek,69.7,170.31,36.73,82,42,12.17,RU,1602865373
Laela,-8.57,32.05,78.71,29,36,2.37,TZ,1602865658
Caravelas,-17.71,-39.25,74.98,88,99,7.2,BR,1602865643
Kandé,9.96,1.04,82.4,65,20,3.36,TG,1602865658
Sumkino,58.11,68.32,50.5,77,67,13.22,RU,1602865658
Morondava,-20.28,44.28,77.79,76,15,14.41,MG,1602865658
Port Alfred,-33.59,26.89,67.23,79,94,30.47,ZA,1602865658
Tiksi,71.69,128.87,22.17,98,99,7.18,RU,1602865658
Nichinan,31.6,131.37,63.28,84,100,13.22,JP,1602865658
The Valley,18.22,-63.06,87.8,88,20,12.75,AI,1602865659
Ahipara,-35.17,173.17,48.96,84,5,2.42,NZ,1602865659
Sinnamary,5.38,-52.95,88.11,52,18,12.64,GF,1602865659
Hermanus,-34.42,19.23,78.01,62,0,2.15,ZA,1602865659
Acarí,-15.43,-74.62,78.98,43,45,10.8,PE,1602865659
Palmer,42.16,-72.33,57.0,82,90,10.29,US,1602865659
Airai,-8.93,125.41,60.58,86,94,1.72,TL,1602865659
Petropavlovsk-Kamchatskiy,53.05,158.65,30.2,92,20,6.71,RU,1602865659
Fuerte Olimpo,-21.04,-57.87,101.64,31,92,2.19,PY,1602865660
‘Āhuimanu,21.44,-157.84,77.0,94,75,2.8,US,1602865660
Province of Mantua,45.17,10.78,57.0,81,37,1.01,IT,1602865660
Taraz,42.9,71.37,46.4,45,0,4.47,KZ,1602865486
Acuitzio,20.34,-101.98,70.72,38,29,11.63,MX,1602865660
Aiquile,-18.2,-65.18,69.08,53,100,7.72,BO,1602865660
Batemans Bay,-35.72,150.18,55.0,96,96,4.83,AU,1602865660
Prainha,-1.8,-53.48,94.98,40,24,6.46,BR,1602865660
Auki,-8.77,160.7,77.14,82,3,4.23,SB,1602865660
Bengkulu,-3.8,102.27,77.34,87,97,3.36,ID,1602865660
Ha Tinh,18.33,105.9,76.53,91,100,24.14,VN,1602865661
Henties Bay,-22.12,14.28,62.01,86,62,8.99,NA,1602865661
Porto-Novo,6.5,2.6,82.4,83,40,16.11,BJ,1602865661
Walvis Bay,-22.96,14.51,68.0,64,95,9.17,NA,1602865661
Hobyo,5.35,48.53,80.19,81,0,20.98,SO,1602865661
Moerai,-22.43,-151.33,72.37,82,38,15.82,PF,1602865661
Kaitangata,-46.28,169.85,43.0,85,40,1.99,NZ,1602865499
Longyearbyen,78.22,15.64,26.6,58,40,14.99,SJ,1602865661
Yellowknife,62.46,-114.35,25.0,85,90,20.8,CA,1602865661
Al Bardīyah,31.76,25.09,78.64,56,0,10.38,LY,1602865662
Abhā,18.22,42.51,71.6,13,0,9.17,SA,1602865662
Qaanaaq,77.48,-69.36,24.15,82,6,7.07,GL,1602865662
City of San Pedro,14.35,121.02,82.4,83,20,3.36,PH,1602865662
Half Moon Bay,37.46,-122.43,82.4,13,1,27.51,US,1602865662
Traverse City,44.76,-85.62,46.4,52,75,13.87,US,1602865662
Great Yarmouth,52.61,1.73,54.0,97,40,8.01,GB,1602865662
Turukhansk,65.82,87.98,27.39,99,100,8.66,RU,1602865662
Kruisfontein,-34.0,24.73,66.99,78,29,7.0,ZA,1602865662
Vacaville,38.36,-121.99,80.6,12,1,11.41,US,1602865663
Jizan,17.33,42.67,89.6,66,0,11.41,SA,1602865663
Hithadhoo,-0.6,73.08,83.97,74,84,21.03,MV,1602865663
Manokwari,-0.87,134.08,80.47,75,100,4.52,ID,1602865663
La Santisima Trinidad,-14.83,-64.9,80.6,78,75,4.7,BO,1602865663
Hong Kong,22.29,114.16,79.0,75,31,1.01,HK,1602865639
Nanortalik,60.14,-45.24,42.57,78,67,9.42,GL,1602865663
Saint-Pierre,-21.34,55.48,75.2,78,75,8.05,RE,1602865663
Itapipoca,-3.49,-39.58,98.17,28,45,9.42,BR,1602865547
Namtsy,62.72,129.67,17.6,92,75,6.71,RU,1602865664
Lincoln,40.8,-96.67,55.4,32,1,14.99,US,1602865664
Grand Gaube,-20.01,57.66,75.0,71,1,1.99,MU,1602865664
Batagay-Alyta,67.8,130.41,11.1,89,70,2.46,RU,1602865664
Edd,13.93,41.69,86.27,67,0,5.35,ER,1602865664
Barrow,71.29,-156.79,15.8,78,1,21.92,US,1602865664
Ancud,-41.87,-73.82,62.01,76,86,8.05,CL,1602865664
Hella,67.2,14.43,44.6,93,75,21.92,NO,1602865665
Camaná,-16.62,-72.71,69.98,62,4,9.86,PE,1602865665
Hobart,-42.88,147.33,44.6,70,100,8.05,AU,1602865559
Sioux Lookout,50.1,-91.92,32.0,82,75,12.75,CA,1602865665
Opuwo,-18.06,13.84,90.5,22,100,6.53,NA,1602865665
Te Anau,-45.42,167.72,37.58,89,94,2.84,NZ,1602865665
Poros,37.5,23.45,75.0,80,9,5.99,GR,1602865665
Arawa,-6.21,155.54,77.07,80,62,1.43,PG,1602865665
Upernavik,72.79,-56.15,36.7,77,100,5.5,GL,1602865665
Manggar,-2.88,108.27,80.28,82,100,16.04,ID,1602865666
Cidreira,-30.18,-50.21,68.43,68,4,15.39,BR,1602865440
Chumikan,54.72,135.31,37.22,75,90,20.78,RU,1602865666
Deloraine,-41.53,146.67,37.99,93,97,2.57,AU,1602865666
Chui,-33.7,-53.46,68.47,68,100,12.5,UY,1602865666
Jamestown,42.1,-79.24,48.0,65,75,13.87,US,1602865590
Santa Maria,-29.68,-53.81,80.47,48,0,9.35,BR,1602865666
San Borja,-14.82,-66.85,74.64,85,100,5.91,BO,1602865666
Sørland,67.67,12.69,46.4,75,75,19.46,NO,1602865667
Husavik,66.04,-17.34,42.8,70,75,4.7,IS,1602865667
West Wendover,40.74,-114.07,48.2,31,1,5.82,US,1602865667
Arkhara,49.42,130.08,31.68,91,0,6.93,RU,1602865667
Vila Franca do Campo,37.72,-25.43,69.8,77,75,9.17,PT,1602865667
Lavrentiya,65.58,-171.0,39.0,93,100,30.8,RU,1602865667
Redwater,33.36,-94.25,61.0,38,1,10.29,US,1602865668
Clifton,40.86,-74.16,55.4,93,90,4.7,US,1602865560
George Town,5.41,100.34,80.6,88,20,3.47,MY,1602865668
Cherskiy,68.75,161.3,26.11,95,58,4.43,RU,1602865668
Nabire,-3.37,135.48,76.53,88,92,2.68,ID,1602865506
Lielvārde,56.72,24.81,42.8,60,90,6.93,LV,1602865668
Mandalgovi,45.76,106.27,37.36,68,100,5.66,MN,1602865668
Padang,-0.95,100.35,78.37,76,58,3.42,ID,1602865668
Chattanooga,35.05,-85.31,61.0,59,75,11.41,US,1602865518
Arraial do Cabo,-22.97,-42.03,69.8,88,90,9.17,BR,1602865669
Ambilobe,-13.2,49.05,76.15,73,21,2.68,MG,1602865669
Evensk,61.95,159.23,34.61,83,15,12.77,RU,1602865669
Mountain Home,43.13,-115.69,46.4,49,1,3.89,US,1602865540
Davila,18.47,120.58,78.8,88,75,2.24,PH,1602865669
Maricá,-22.92,-42.82,77.0,61,75,12.75,BR,1602865387
Tilichiki,60.47,166.1,32.36,93,74,6.22,RU,1602865412
Khatanga,71.97,102.5,-3.57,92,0,1.88,RU,1602865448
Barentu,15.11,37.59,85.39,16,0,8.86,ER,1602865669
Port Elizabeth,-33.92,25.57,64.4,82,20,19.46,ZA,1602865669
Bārmer,25.75,71.38,90.3,36,21,6.8,IN,1602865670
Isangel,-19.55,169.27,70.39,79,100,9.33,VU,1602865670
Saint George,37.1,-113.58,64.99,19,1,3.36,US,1602865556
Oktyabr'skoye,43.06,44.74,59.0,71,0,8.95,RU,1602865670
Muros,42.78,-9.06,63.0,69,65,7.0,ES,1602865670
Hasaki,35.73,140.83,59.0,82,75,12.75,JP,1602865670
Merauke,-8.47,140.33,75.96,79,100,13.24,ID,1602865670
Pangody,65.85,74.49,30.0,98,100,16.13,RU,1602865670
Esperance,-33.87,121.9,46.4,87,75,1.12,AU,1602865670
Lompoc,34.64,-120.46,73.4,55,1,3.24,US,1602865485
Sierra Vista,31.55,-110.3,78.01,15,1,6.93,US,1602865458
Deniliquin,-35.53,144.97,60.01,94,100,1.99,AU,1602865671
Michigan City,41.71,-86.89,54.0,32,1,14.99,US,1602865671
Garoowe,8.41,48.48,86.79,41,15,10.69,SO,1602865671
Saint-Augustin,51.23,-58.65,55.71,69,100,17.49,CA,1602865671
Olinda,-8.01,-34.86,84.2,62,40,9.17,BR,1602865576
Tuktoyaktuk,69.45,-133.04,21.2,85,90,25.28,CA,1602865671
Mitsamiouli,-11.38,43.28,80.6,78,40,12.75,KM,1602865671
Arrondissement de Cahors,44.42,1.33,55.99,66,40,3.36,FR,1602865671
Sieradz,51.6,18.73,46.0,94,94,1.01,PL,1602865671
Karratha,-20.74,116.85,70.92,70,0,16.26,AU,1602865672
Uyovu,-3.28,31.53,74.86,55,67,2.46,TZ,1602865672
Plouzané,48.38,-4.62,53.6,76,51,5.82,FR,1602865672
Lishui,28.46,119.91,61.57,87,100,2.82,CN,1602865672
Ribeira Grande,38.52,-28.7,71.6,68,75,10.29,PT,1602865672
Muswellbrook,-32.27,150.9,63.0,74,88,1.99,AU,1602865672
Dingle,11.0,122.67,76.37,89,95,1.77,PH,1602865672
Nikolskoye,59.7,30.79,41.0,65,90,11.18,RU,1602865672
Whitehorse,60.72,-135.05,23.0,79,75,10.29,CA,1602865522
Balclutha,-46.23,169.75,43.0,85,29,1.99,NZ,1602865673
Guerrero Negro,27.98,-114.06,77.77,51,1,10.83,MX,1602865673
Lodja,-3.48,23.43,73.54,94,86,3.31,CD,1602865673
Buraidah,26.33,43.98,82.4,21,0,4.7,SA,1602865657
Puerto El Triunfo,13.28,-88.55,87.8,70,20,4.7,SV,1602865673
Bogotá,4.61,-74.08,64.4,52,40,10.29,CO,1602865633
Mount Isa,-20.73,139.5,69.8,37,0,8.05,AU,1602865673
Stokmarknes,68.56,14.91,42.8,100,75,17.22,NO,1602865673
Yuanping,38.72,112.76,43.83,51,0,1.83,CN,1602865673
Remanso,-9.62,-42.08,91.13,28,4,10.54,BR,1602865674
Alfatar,43.95,27.28,70.0,45,13,4.0,BG,1602865674
Kupang,-10.17,123.58,79.18,77,96,7.52,ID,1602865674
Kavieng,-2.57,150.8,81.68,76,98,11.95,PG,1602865674
Yeppoon,-23.13,150.73,66.2,77,75,5.82,AU,1602865674
Shaunavon,49.65,-108.42,36.09,73,100,10.94,CA,1602865674
Misratah,32.38,15.09,75.13,64,100,18.14,LY,1602865674
Egvekinot,66.32,-179.17,33.66,100,100,3.2,RU,1602865674
Umm Kaddadah,13.6,26.69,96.01,10,0,9.86,SD,1602865675
Lebu,-37.62,-73.65,59.29,69,0,6.06,CL,1602865675
Mukono,0.35,32.76,70.48,69,37,1.59,UG,1602865675
Esim,4.87,-2.24,79.92,81,60,11.3,GH,1602865675
Nuevo Casas Grandes,30.42,-107.92,66.99,24,0,3.0,MX,1602865675
Cayenne,4.93,-52.33,91.4,52,7,9.17,GF,1602865675
Tura,25.52,90.22,74.79,89,0,3.24,IN,1602865676
Acaraú,-2.89,-40.12,88.66,52,67,19.84,BR,1602865676
Khandyga,62.67,135.6,13.6,93,4,3.38,RU,1602865676
Acajutla,13.59,-89.83,82.4,69,20,4.7,SV,1602865676
Pozo Colorado,-23.49,-58.8,96.06,34,24,3.62,PY,1602865676
College,64.86,-147.8,7.0,77,20,3.24,US,1602865676
Hamamatsu,34.7,137.73,64.99,67,99,1.01,JP,1602865387
Turbat,26.0,63.04,80.69,12,0,22.55,PK,1602865676
San Andrés,12.58,-81.7,86.0,79,40,8.05,CO,1602865677
Ushtobe,45.25,77.98,51.71,44,0,10.31,KZ,1602865677
Mattoon,39.48,-88.37,57.0,30,1,11.41,US,1602865677
Altamont,42.21,-121.74,46.0,56,1,0.65,US,1602865677
Sarnia,42.98,-82.4,50.0,39,1,12.75,CA,1602865448
Ōdate,40.27,140.57,50.0,80,100,3.0,JP,1602865677
Elk City,35.41,-99.4,59.0,33,1,6.93,US,1602865677
Zhangaözen,43.3,52.8,55.49,34,0,3.98,KZ,1602865677
Aklavik,68.22,-135.01,19.4,85,90,13.87,CA,1602865678
Chokurdakh,70.63,147.92,32.32,99,100,9.57,RU,1602865678
Bani Walid,31.76,13.99,76.69,49,70,19.48,LY,1602865678
Makakilo City,21.35,-158.09,77.0,94,40,3.36,US,1602865678
Camacha,33.08,-16.33,71.6,56,20,10.29,PT,1602865678
Shaoyang,27.23,111.45,56.1,91,99,2.75,CN,1602865678
Hualmay,-11.1,-77.61,69.67,65,24,10.96,PE,1602865678
Kavaratti,10.57,72.64,81.3,79,3,15.17,IN,1602865678
Meulaboh,4.14,96.13,77.85,85,68,2.33,ID,1602865678
Russell,32.35,-85.2,69.8,52,40,4.7,US,1602865679
Mahébourg,-20.41,57.7,73.4,78,40,4.7,MU,1602865679
Alta Floresta,-9.88,-56.09,97.09,28,35,2.62,BR,1602865679
Vilhena,-12.74,-60.15,91.49,38,100,4.25,BR,1602865679
Karasjok,69.47,25.51,33.8,96,75,4.7,NO,1602865679
Baykit,61.67,96.37,27.55,93,100,7.05,RU,1602865679
Mount Gambier,-37.83,140.77,55.4,93,90,5.82,AU,1602865648
Vieques,18.43,-65.83,82.4,88,40,5.82,PR,1602865680
Mayen,50.33,7.22,50.0,93,97,4.7,DE,1602865680
Ginir,7.13,40.7,59.18,95,14,3.71,ET,1602865680
Jingdezhen,29.29,117.21,58.32,94,100,3.44,CN,1602865680
Shenjiamen,29.96,122.3,63.28,84,100,15.32,CN,1602865680
Yangi Marg`ilon,40.43,71.72,55.4,62,0,6.93,UZ,1602865680
Saint-Philippe,-21.36,55.77,75.2,78,75,8.05,RE,1602865680
Llandrindod Wells,52.24,-3.38,51.01,83,62,7.16,GB,1602865680
Zhezkazgan,47.8,67.71,53.26,42,0,2.53,KZ,1602865681
Tegul'det,57.31,88.17,32.61,89,100,7.78,RU,1602865681
Wattegama,6.8,81.48,78.8,94,64,2.24,LK,1602865681
Naze,28.37,129.48,73.4,88,75,1.12,JP,1602865681
Lebanon,36.21,-86.29,57.99,43,1,5.82,US,1602865681
Korla,41.76,86.15,53.01,45,0,3.0,CN,1602865681
Sunyani,7.34,-2.33,84.11,72,90,4.43,GH,1602865681
Itarema,-2.92,-39.92,87.67,54,39,19.01,BR,1602865682
San Jerónimo,-11.95,-75.28,56.01,54,55,7.38,PE,1602865682
Liliongan,7.36,124.79,73.6,94,96,0.81,PH,1602865682
Nagato,34.38,131.2,59.0,82,75,8.05,JP,1602865682
Mâncio Lima,-7.61,-72.9,87.96,55,80,5.17,BR,1602865682
Marawi,8.0,124.29,73.99,95,100,5.01,PH,1602865682
Aripuanã,-9.17,-60.63,101.01,28,1,3.62,BR,1602865682
Beringovskiy,63.05,179.32,39.06,84,3,14.79,RU,1602865682
Arman',59.7,150.17,29.68,85,0,2.39,RU,1602865683
Provideniya,64.38,-173.3,39.51,95,100,16.11,RU,1602865683
Bontang,0.13,117.5,79.36,81,84,3.02,ID,1602865683
Iqaluit,63.75,-68.51,33.8,100,90,3.36,CA,1602865398
Harlingen,26.19,-97.7,82.0,88,75,18.34,US,1602865683
Murgab,37.5,61.97,62.6,36,0,4.7,TM,1602865683
Vao,-22.67,167.48,69.44,83,15,20.27,NC,1602865683
Huanan,46.22,130.52,33.67,87,0,6.33,CN,1602865683
Viedma,-40.81,-63.0,87.01,28,0,11.99,AR,1602865669
Tutóia,-2.76,-42.27,87.4,59,46,15.73,BR,1602865684
Seydi,39.48,62.91,61.14,29,0,7.36,TM,1602865684
Oriximiná,-1.77,-55.87,97.59,34,20,7.45,BR,1602865684
Bahār,34.91,48.44,51.06,36,0,3.89,IR,1602865684
Boffa,10.17,-14.03,88.65,65,62,2.53,GN,1602865684
Bathsheba,13.22,-59.52,87.8,74,20,14.99,BB,1602865684
Kahului,20.89,-156.47,73.99,68,1,6.93,US,1602865684
Manaure,11.78,-72.44,89.92,60,22,13.09,CO,1602865685
Ushumun,52.78,126.53,32.68,94,100,7.05,RU,1602865685
Chicama,-7.84,-79.15,62.6,82,90,9.17,PE,1602865685
Mergen,49.18,125.22,36.21,78,44,12.88,CN,1602865685
Makokou,0.57,12.86,77.34,91,74,2.37,GA,1602865685
Rocha,-34.48,-54.33,73.0,58,21,9.82,UY,1602865480
Staritsa,56.51,34.94,37.74,82,80,4.61,RU,1602865685
Rasrā,25.85,83.85,81.63,67,0,3.98,IN,1602865686
Marsá Maţrūḩ,31.35,27.25,77.0,57,63,7.31,EG,1602865686
Paka,4.64,103.44,80.6,88,98,3.65,MY,1602865686
Jianning,27.83,113.15,60.8,93,75,8.95,CN,1602865686
Saint Anthony,45.02,-93.22,39.0,86,90,9.17,US,1602865686
Kysyl-Syr,63.9,122.76,22.86,97,100,9.53,RU,1602865686
Dovers,12.88,-61.18,86.0,79,75,3.36,VC,1602865687
Mareeba,-17.0,145.43,71.6,73,14,6.93,AU,1602865687
Puerto Ayacucho,5.66,-67.62,88.12,62,91,2.86,VE,1602865687
Nālūt,30.33,10.85,88.75,12,40,12.28,LY,1602865687
Juneau,58.3,-134.42,41.0,93,90,3.69,US,1602865687
Eenhana,-17.47,16.33,98.6,13,69,9.17,NA,1602865687
Ixtapa,20.7,-105.2,90.0,74,5,1.36,MX,1602865687
Keuruu,62.27,24.7,39.2,81,75,6.93,FI,1602865687
Port Hardy,50.7,-127.42,50.0,100,90,2.24,CA,1602865687
Mikhaylovka,50.06,43.24,61.56,50,93,7.9,RU,1602865688
Changping,40.22,116.22,63.0,87,0,1.99,CN,1602865688
Maragogi,-9.01,-35.22,81.88,66,31,10.96,BR,1602865544
Sitka,57.05,-135.33,46.4,75,40,6.93,US,1602865688
Villarrica,-25.75,-56.43,87.22,50,42,4.76,PY,1602865688
Coquimbo,-29.95,-71.34,59.0,82,75,6.93,CL,1602865562
Le Mans,48.0,0.2,51.8,76,90,3.36,FR,1602865688
Antofagasta,-23.65,-70.4,70.0,67,20,14.99,CL,1602865562
Labuan,5.28,115.24,78.8,83,20,3.36,MY,1602865688
Lazarev,52.23,141.51,38.8,69,100,24.61,RU,1602865689
Galesong,-5.32,119.37,78.8,88,20,1.12,ID,1602865689
Khani,41.96,42.96,64.4,88,0,3.36,GE,1602865689
Sennar,13.57,33.57,93.36,24,16,3.83,SD,1602865689
Okhotsk,59.38,143.3,26.35,85,0,8.7,RU,1602865689
Pacific Grove,36.62,-121.92,73.0,37,1,3.36,US,1602865640
Øksfjord,70.24,22.35,37.4,100,90,11.41,NO,1602865689
Ilulissat,69.22,-51.1,48.2,57,75,16.11,GL,1602865464
Pedernales,18.04,-71.74,89.6,62,20,9.17,DO,1602865689
Verāval,20.9,70.37,83.82,81,100,11.5,IN,1602865690
Ostrovnoy,68.05,39.51,35.94,80,100,17.9,RU,1602865690
Hörstel,52.32,7.58,50.0,71,75,4.7,DE,1602865690
Chernyshevskiy,63.01,112.47,20.7,96,99,8.93,RU,1602865690
Saldanha,-33.01,17.94,75.2,36,0,9.17,ZA,1602865690
Paita,-5.09,-81.11,75.2,69,43,16.11,PE,1602865690
Tadine,-21.55,167.88,68.29,86,40,2.98,NC,1602865690
Teluknaga,-6.1,106.64,80.01,88,20,4.7,ID,1602865690
Bud,39.45,-86.18,53.01,39,1,3.36,US,1602865691
Khilok,51.37,110.47,29.32,93,23,10.33,RU,1602865691
Kamina,-8.74,24.99,76.51,67,53,4.07,CD,1602865691
Wasilla,61.58,-149.44,28.0,92,1,3.36,US,1602865537
Santa Clara,22.4,-79.97,86.0,70,40,6.93,CU,1602865691
Bukama,-9.2,25.85,87.04,44,38,1.81,CD,1602865691
Progreso,21.28,-89.67,89.01,66,20,3.96,MX,1602865691
Ust-Nera,64.57,143.2,15.84,90,97,5.28,RU,1602865692
Alzamay,55.56,98.66,29.53,93,99,3.6,RU,1602865692
Malaryta,51.79,24.07,48.29,79,100,4.94,BY,1602865692
Necochea,-38.55,-58.74,71.19,66,0,13.6,AR,1602865692
Gardabani,41.46,45.09,64.4,68,0,3.36,GE,1602865692
Flinders,-34.58,150.86,60.01,81,85,5.48,AU,1602865692
Tazovsky,67.47,78.7,29.1,98,99,10.31,RU,1602865692
Caniço,32.63,-16.85,71.6,60,40,12.75,PT,1602865692
Lorengau,-2.02,147.27,81.16,75,100,6.46,PG,1602865693
Skibbereen,51.55,-9.27,50.0,76,40,13.87,IE,1602865693
Fortuna,40.6,-124.16,57.2,67,1,4.7,US,1602865693
Faanui,-16.48,-151.75,78.44,79,60,9.04,PF,1602865693
Omsukchan,62.53,155.8,22.59,93,100,4.68,RU,1602865693
Kharan,28.58,65.42,63.82,21,0,4.27,PK,1602865693
Cedar City,37.68,-113.06,46.4,20,1,4.09,US,1602865693
Giohar,2.78,45.5,80.26,68,16,16.55,SO,1602865693
Boende,-0.22,20.87,81.43,73,81,1.9,CD,1602865693
Panama City,8.99,-79.52,90.0,66,20,8.05,PA,1602865694
Alihe,50.57,123.72,35.85,79,94,5.57,CN,1602865694
Kaeo,-35.1,173.78,46.99,94,86,3.0,NZ,1602865694
Sisimiut,66.94,-53.67,42.49,80,100,18.07,GL,1602865694
Sompeta,18.93,84.6,80.8,83,22,3.22,IN,1602865694
Harper,4.38,-7.72,80.13,80,96,11.88,LR,1602865694
Hyderabad,17.38,78.47,77.0,94,40,5.48,IN,1602865405
Sault Ste. Marie,46.52,-84.33,42.8,56,75,9.17,CA,1602865694
Talnakh,69.49,88.4,17.6,92,98,8.95,RU,1602865695
Narsaq,60.92,-46.05,53.6,37,75,12.75,GL,1602865695
Nāwa,27.02,75.0,82.08,20,70,9.33,IN,1602865695
Banjar,-8.19,114.97,78.8,83,20,2.24,ID,1602865695
North Branch,45.51,-92.98,39.0,88,96,8.99,US,1602865663
Solnechnyy,50.72,136.63,30.18,86,59,5.19,RU,1602865695
Klaksvík,62.23,-6.59,44.6,81,99,5.82,FO,1602865695
Kiryat Gat,31.61,34.76,78.01,79,0,10.16,IL,1602865623
Paamiut,61.99,-49.67,42.19,78,100,33.4,GL,1602865695
Brae,60.4,-1.35,46.4,93,75,5.82,GB,1602865696
Koumac,-20.57,164.28,70.03,83,24,5.57,NC,1602865696
Pierre,44.37,-100.35,39.2,64,75,12.75,US,1602865696
Saskylakh,71.92,114.08,7.84,94,82,2.55,RU,1602865696
Arlit,18.74,7.39,103.46,8,0,1.59,NE,1602865696
Konanūr,12.63,76.05,66.22,95,97,4.38,IN,1602865696
Urubamba,-13.3,-72.12,64.4,34,40,2.24,PE,1602865696
Sechura,-5.56,-80.82,73.08,61,44,7.18,PE,1602865696
Jiuquan,39.74,98.52,41.05,52,0,2.48,CN,1602865696
Redmond,47.67,-122.12,57.0,84,94,7.83,US,1602865589
Severo-Kuril'sk,50.68,156.12,41.83,72,43,21.07,RU,1602865697
Yumen,40.28,97.2,42.35,47,0,11.01,CN,1602865697
Panalingaan,8.78,117.42,76.37,87,100,3.0,PH,1602865697
